time\tgx\tgy\tgz\tax\tay\taz\tp\ty\tr\ttmp\tpressure\talt\tlat\tlon\talt\tlat\talt gps\tsat\tspeed\tpps\nb'1034429,-0.08,0.06,0.01,0.04,-0.06,0.51,-6.51,-4.45,-13.40,23.68,101527.41,-17.36,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1034635,-0.06,-0.03,-0.05,0.04,-0.06,0.51,-6.52,-4.44,-13.41,23.68,101528.07,-17.17,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1034843,-0.16,0.06,-0.14,0.04,-0.06,0.51,-6.52,-4.43,-13.41,23.68,101527.48,-17.12,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035047,0.15,0.10,0.05,0.04,-0.06,0.51,-6.51,-4.43,-13.42,23.68,101527.58,-17.13,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035236,0.04,-0.08,-0.06,0.04,-0.06,0.51,-6.52,-4.45,-13.42,23.69,101527.95,-17.27,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035421,-0.00,-0.10,-0.11,0.04,-0.06,0.51,-6.52,-4.46,-13.43,23.70,101530.34,-17.49,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035607,0.10,0.16,-0.02,0.04,-0.06,0.51,-6.50,-4.46,-13.43,23.70,101527.72,-17.05,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035796,-0.06,0.03,-0.08,0.04,-0.06,0.51,-6.52,-4.45,-13.44,23.70,101532.67,-17.40,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1035984,-0.14,-0.07,0.08,0.04,-0.06,0.51,-6.52,-4.45,-13.44,23.70,101527.44,-17.17,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1036172,-0.03,0.03,-0.17,0.04,-0.06,0.51,-6.52,-4.44,-13.44,23.69,101527.15,-17.22,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1036362,0.06,0.13,0.08,0.04,-0.06,0.51,-6.53,-4.42,-13.44,23.69,101528.05,-17.27,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1036551,0.07,-0.02,0.09,0.04,-0.06,0.51,-6.53,-4.44,-13.44,23.70,101528.80,-17.26,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1036741,0.09,0.04,-0.08,0.04,-0.06,0.51,-6.52,-4.42,-13.45,23.70,101525.97,-17.13,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1036932,-0.11,0.04,0.14,0.04,-0.06,0.50,-6.54,-4.43,-13.44,23.69,101528.90,-17.20,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1037123,-0.08,-0.02,-0.00,0.04,-0.06,0.51,-6.53,-4.43,-13.45,23.69,101530.45,-17.41,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1037316,-0.08,0.04,-0.18,0.04,-0.06,0.51,-6.52,-4.42,-13.45,23.69,101527.29,-17.07,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1037515,0.03,0.06,0.06,0.04,-0.06,0.51,-6.51,-4.43,-13.45,23.68,101528.66,-17.32,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1037709,0.07,-0.07,0.12,0.04,-0.06,0.51,-6.51,-4.42,-13.45,23.69,101529.14,-17.45,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1037903,0.04,-0.05,-0.03,0.04,-0.06,0.51,-6.51,-4.41,-13.46,23.69,101529.05,-17.35,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1038099,0.12,-0.02,0.06,0.04,-0.06,0.51,-6.51,-4.43,-13.47,23.68,101527.66,-17.18,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1038296,-0.11,0.03,-0.12,0.04,-0.06,0.51,-6.52,-4.42,-13.47,23.68,101526.65,-17.19,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1038493,0.12,-0.08,-0.00,0.04,-0.06,0.50,-6.51,-4.43,-13.48,23.68,101528.48,-17.22,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1038691,-0.19,-0.17,-0.08,0.04,-0.06,0.51,-6.51,-4.43,-13.49,23.68,101527.83,-17.17,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1038890,-0.05,0.04,-0.02,0.04,-0.06,0.51,-6.49,-4.45,-13.50,23.68,101532.89,-17.54,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1039091,0.10,-0.02,0.05,0.04,-0.06,0.51,-6.49,-4.44,-13.50,23.68,101526.98,-17.19,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1039292,0.04,0.09,-0.08,0.04,-0.06,0.51,-6.49,-4.43,-13.50,23.67,101526.02,-17.17,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1039493,0.03,0.01,-0.14,0.04,-0.06,0.51,-6.49,-4.42,-13.51,23.68,101529.26,-17.16,0.00,0.00,0.000000,0.000000,0,\r\n'
