Hey,21467,0.89,0.24,-0.6,0.34,-0.07,0.38,22.97,101654.51,-27.74,0,0,0,v
Hey,21491,0.75,-0.1,-0.66,0.35,-0.07,0.38,22.97,101653.81,-27.8,0,0,0,v
Hey,21515,-0.16,-0.26,1.14,0.35,-0.07,0.38,22.97,101655.07,-27.98,0,0,0,v
Hey,21539,0.13,0.15,0.61,0.34,-0.07,0.38,22.97,101657.87,-28.08,0,0,0,v
Hey,21564,0.43,-0.1,0.15,0.35,-0.07,0.38,22.96,101657.12,-27.93,0,0,0,v
Hey,21588,0.25,-0.28,-0.49,0.34,-0.07,0.38,22.96,101656.21,-27.85,0,0,0,v
Hey,21612,0.04,-0.04,-0.26,0.34,-0.07,0.38,22.96,101655.45,-27.73,0,0,0,v
Hey,21636,0.27,-0.31,0.07,0.35,-0.07,0.38,22.96,101654.42,-27.83,0,0,0,v
Hey,21660,-0.07,-0.05,0.65,0.34,-0.07,0.37,22.96,101654.48,-27.91,0,0,0,v
Hey,21684,0.69,0.38,-0.54,0.34,-0.07,0.38,22.97,101655.3,-27.97,0,0,0,v
Hey,21708,0.45,0.36,-0.02,0.34,-0.07,0.38,22.97,101654.85,-27.75,0,0,0,v
Hey,21732,-0.08,-0.05,0.38,0.34,-0.07,0.38,22.96,101653.08,-27.66,0,0,0,v
Hey,21756,0.54,-0.13,0.2,0.35,-0.07,0.37,22.96,101653.07,-27.65,0,0,0,v
Hey,21780,1.2,-0.23,-0.29,0.35,-0.07,0.38,22.96,101652.12,-27.5,33.644951,-117.841225,7,v
Hey,21807,0.07,0.1,0.81,0.35,-0.07,0.37,22.97,101651.83,-27.58,33.644951,-117.841225,7,v
Hey,21831,0.74,0.5,-0.28,0.35,-0.07,0.38,22.96,101652.17,-27.54,33.644951,-117.841225,7,v
Hey,21855,0.34,-0.46,0.42,0.35,-0.07,0.37,22.97,101652.1,-27.67,33.644951,-117.841225,7,v
Hey,21879,0.45,-0.55,0.09,0.34,-0.07,0.37,22.97,101652.27,-27.71,33.644951,-117.841225,7,v
Hey,21903,0.39,0.67,-0.6,0.34,-0.07,0.38,22.97,101654.77,-27.92,33.644951,-117.841225,7,v
Hey,21928,0.46,-0.08,-0.02,0.34,-0.07,0.38,22.97,101656.37,-27.81,33.644951,-117.841225,7,v
Hey,21952,0.3,-0.9,1.74,0.35,-0.07,0.38,22.97,101654.09,-27.78,33.644951,-117.841225,7,v
Hey,21976,0.22,-0.51,1.71,0.34,-0.07,0.38,22.97,101654.51,-27.8,33.644951,-117.841225,7,v
Hey,22000,1.41,-0.23,-0.66,0.34,-0.07,0.37,22.97,101653.52,-27.74,33.644951,-117.841225,7,v
